import time: self [us] | cumulative | imported package
import time:       423 |        423 |   _io
import time:        26 |         26 |   marshal
import time:       146 |        146 |   posix
import time:       700 |       1294 | _frozen_importlib_external
import time:       416 |        416 |   time
import time:       136 |        552 | zipimport
import time:        28 |         28 |     _codecs
import time:       355 |        382 |   codecs
import time:       440 |        440 |   encodings.aliases
import time:      1206 |       2027 | encodings
import time:       207 |        207 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        15 |         15 |     _abc
import time:        91 |        106 |   abc
import time:        90 |        196 | io
import time:        51 |         51 |       _stat
import time:       137 |        188 |     stat
import time:       483 |        483 |     _collections_abc
import time:        36 |         36 |       genericpath
import time:        82 |        118 |     posixpath
import time:       315 |       1103 |   os
import time:        56 |         56 |   _sitebuiltins
import time:       237 |        237 |   encodings.utf_8_sig
import time:       948 |        948 |   _distutils_hack
import time:      1152 |       1152 |   types
import time:       234 |        234 |     importlib
import time:       255 |        255 |     importlib._abc
import time:        95 |        582 |   importlib.util
import time:        27 |         27 |   importlib.machinery
import time:        90 |         90 |   sitecustomize
import time:      1712 |       5903 | site
import time:       260 |        260 |         django.utils
import time:      1914 |       1914 |           _datetime
import time:       227 |       2141 |         datetime
import time:       151 |        151 |             itertools
import time:       398 |        398 |             keyword
import time:        52 |         52 |               _operator
import time:       602 |        654 |             operator
import time:       621 |        621 |             reprlib
import time:       292 |        292 |             _collections
import time:      3189 |       5303 |           collections
import time:        47 |         47 |           _functools
import time:      1150 |       6499 |         functools
import time:        46 |         46 |           errno
import time:      1056 |       1056 |               enum
import time:        37 |         37 |                 _sre
import time:       284 |        284 |                   re._constants
import time:       352 |        635 |                 re._parser
import time:       326 |        326 |                 re._casefix
import time:       376 |       1373 |               re._compiler
import time:       313 |        313 |               copyreg
import time:       534 |       3275 |             re
import time:        39 |         39 |             _locale
import time:       712 |       4026 |           locale
import time:       373 |        373 |           signal
import time:       301 |        301 |             warnings
import time:       323 |        323 |             _weakrefset
import time:       710 |       1332 |           threading
import time:       484 |        484 |           contextlib
import time:       489 |        489 |           fcntl
import time:        41 |         41 |           msvcrt
import time:       569 |        569 |           _posixsubprocess
import time:       626 |        626 |           select
import time:       221 |        221 |             collections.abc
import time:       495 |        495 |             math
import time:       540 |       1256 |           selectors
import time:      1392 |      10629 |         subprocess
import time:       601 |        601 |               weakref
import time:       293 |        894 |             copy
import time:       378 |       1271 |           django.utils.functional
import time:       245 |       1516 |         django.utils.regex_helper
import time:       436 |      21477 |       django.utils.version
import time:       231 |      21708 |     django
import time:       313 |      22021 |   django.core
import time:        34 |         34 |       _typing
import time:      1495 |       1529 |     typing
import time:       396 |       1924 |   pkgutil
import time:       696 |        696 |     gettext
import time:      1161 |       1857 |   argparse
import time:       603 |        603 |       _heapq
import time:       574 |       1177 |     heapq
import time:       609 |       1785 |   difflib
import time:       707 |        707 |           _ast
import time:       846 |       1553 |         ast
import time:       355 |        355 |             _opcode
import time:       307 |        307 |             _opcode_metadata
import time:       270 |        931 |           opcode
import time:       680 |       1611 |         dis
import time:       251 |        251 |         linecache
import time:       225 |        225 |           token
import time:        20 |         20 |           _tokenize
import time:       713 |        957 |         tokenize
import time:      1243 |       5612 |       inspect
import time:       167 |        167 |           django.utils.itercompat
import time:       218 |        384 |         django.utils.hashable
import time:       372 |        756 |       django.core.exceptions
import time:       932 |        932 |       django.utils.module_loading
import time:       216 |        216 |           asgiref
import time:       231 |        231 |                 concurrent
import time:       619 |        619 |                       textwrap
import time:       261 |        261 |                       _colorize
import time:       613 |       1492 |                     traceback
import time:        16 |         16 |                       _string
import time:       406 |        422 |                     string
import time:        19 |         19 |                     atexit
import time:      1202 |       3133 |                   logging
import time:       460 |       3593 |                 concurrent.futures._base
import time:       716 |       4538 |               concurrent.futures
import time:       638 |        638 |                 _socket
import time:       396 |        396 |                 array
import time:       767 |       1800 |               socket
import time:      2208 |       2208 |                 _ssl
import time:       480 |        480 |                     _struct
import time:       186 |        665 |                   struct
import time:       444 |        444 |                   binascii
import time:       344 |       1453 |                 base64
import time:      1531 |       5191 |               ssl
import time:       162 |        162 |               asyncio.constants
import time:       310 |        310 |               asyncio.coroutines
import time:      1239 |       1239 |                   _contextvars
import time:       127 |       1365 |                 contextvars
import time:       537 |        537 |                 asyncio.format_helpers
import time:       725 |        725 |                   asyncio.base_futures
import time:       654 |        654 |                   asyncio.exceptions
import time:       285 |        285 |                   asyncio.base_tasks
import time:      1682 |       3344 |                 _asyncio
import time:       755 |       6000 |               asyncio.events
import time:       711 |        711 |               asyncio.futures
import time:       580 |        580 |               asyncio.protocols
import time:      4639 |       4639 |                 asyncio.transports
import time:       246 |        246 |                 asyncio.log
import time:      1241 |       6125 |               asyncio.sslproto
import time:       503 |        503 |                   asyncio.mixins
import time:       758 |       1261 |                 asyncio.locks
import time:       681 |        681 |                   asyncio.queues
import time:      1417 |       1417 |                   asyncio.timeouts
import time:       795 |       2892 |                 asyncio.tasks
import time:       483 |       4635 |               asyncio.staggered
import time:       961 |        961 |               asyncio.trsock
import time:      1019 |      32028 |             asyncio.base_events
import time:       759 |        759 |             asyncio.runners
import time:       694 |        694 |             asyncio.streams
import time:       408 |        408 |             asyncio.subprocess
import time:       371 |        371 |             asyncio.taskgroups
import time:       631 |        631 |             asyncio.threads
import time:       509 |        509 |               asyncio.base_subprocess
import time:      1424 |       1424 |               asyncio.selector_events
import time:      1223 |       3155 |             asyncio.unix_events
import time:       399 |      38442 |           asyncio
import time:      1215 |       1215 |               _queue
import time:       538 |       1753 |             queue
import time:       469 |       2222 |           concurrent.futures.thread
import time:       374 |        374 |           asgiref.current_thread_executor
import time:       265 |        265 |           asgiref.local
import time:      1033 |      42549 |         asgiref.sync
import time:       402 |      42950 |       django.utils.deprecation
import time:       325 |      50574 |     django.apps.config
import time:      1770 |       1770 |     django.apps.registry
import time:       283 |      52626 |   django.apps
import time:       409 |        409 |           fnmatch
import time:       830 |       1238 |         glob
import time:       951 |       2189 |       pathlib._abc
import time:        76 |         76 |           _winapi
import time:        79 |         79 |           nt
import time:        49 |         49 |           nt
import time:        39 |         39 |           nt
import time:        34 |         34 |           nt
import time:        59 |         59 |           nt
import time:        50 |         50 |           nt
import time:        33 |         33 |           nt
import time:       707 |       1121 |         ntpath
import time:        34 |         34 |         pwd
import time:     37322 |      37322 |         grp
import time:      1034 |      39510 |       pathlib._local
import time:      2080 |      43778 |     pathlib
import time:      2452 |       2452 |     django.conf.global_settings
import time:       919 |      47148 |   django.conf
import time:       388 |        388 |       django.core.checks.messages
import time:       302 |        302 |         django.utils.inspect
import time:       386 |        687 |       django.core.checks.registry
import time:       302 |        302 |       django.core.checks.async_checks
import time:       410 |        410 |               django.dispatch.dispatcher
import time:       197 |        607 |             django.dispatch
import time:       226 |        832 |           django.core.signals
import time:       209 |        209 |             django.core.cache.backends
import time:       363 |        572 |           django.core.cache.backends.base
import time:       253 |        253 |           django.utils.connection
import time:       461 |       2117 |         django.core.cache
import time:       326 |        326 |             _compat_pickle
import time:       757 |        757 |             _pickle
import time:      1729 |       2811 |           pickle
import time:      1342 |       1342 |               _bisect
import time:       321 |       1663 |             bisect
import time:       799 |        799 |             _random
import time:       744 |       3205 |           random
import time:       738 |        738 |               zlib
import time:       305 |        305 |                 _compression
import time:       729 |        729 |                 _bz2
import time:       399 |       1431 |               bz2
import time:      1571 |       1571 |                 _lzma
import time:       439 |       2009 |               lzma
import time:      1540 |       5718 |             shutil
import time:       618 |       6335 |           tempfile
import time:       262 |        262 |               django.core.files.utils
import time:       426 |        688 |             django.core.files.base
import time:      6612 |       7300 |           django.core.files
import time:       224 |        224 |           django.core.files.locks
import time:       250 |        250 |           django.core.files.move
import time:      1142 |       1142 |               _hashlib
import time:       942 |        942 |               _blake2
import time:       354 |       2437 |             hashlib
import time:       396 |        396 |             hmac
import time:       212 |        212 |             secrets
import time:      1171 |       1171 |                   numbers
import time:      1450 |       2621 |                 _decimal
import time:       224 |       2844 |               decimal
import time:       318 |        318 |                 urllib
import time:      1185 |       1185 |                 ipaddress
import time:      1399 |       2901 |               urllib.parse
import time:       433 |       6178 |             django.utils.encoding
import time:       464 |       9685 |           django.utils.crypto
import time:       344 |      30151 |         django.core.cache.backends.filebased
import time:       283 |      32550 |       django.core.checks.caches
